CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Fairmont, WV",21900,5/05/2022,15.0,Good,PM2.5,54-049-0006,1
"Chicago-Naperville-Elgin, IL-IN-WI",16980,31/08/2022,44.0,Good,Ozone,18-127-0024,29
"Shreveport-Bossier City, LA",43340,29/03/2022,44.0,Good,,22-015-0008,2
"York-Hanover, PA",49620,16/05/2022,45.0,Good,Ozone,42-133-0011,2
"Bangor, ME",12620,5/03/2022,45.0,Good,Ozone,23-019-4008,2
"Racine, WI",39540,25/05/2022,31.0,Good,Ozone,55-101-0020,1
"Berlin, NH-VT",13620,7/05/2022,44.0,Good,Ozone,33-007-4002,1
"Colorado Springs, CO",17820,25/07/2022,64.0,Moderate,,08-041-0016,4
"Reading, PA",39740,12/04/2022,48.0,Good,Ozone,42-011-0011,2
"Gadsden, AL",23460,18/03/2022,33.0,Good,,01-055-0011,2
"Topeka, KS",45820,11/05/2022,66.0,Moderate,PM2.5,20-177-0013,1
"Little Rock-North Little Rock-Conway, AR",30780,15/02/2022,47.0,Good,PM2.5,05-119-0007,2
"Americus, GA",11140,28/07/2022,29.0,Good,Ozone,13-261-1001,1
"Duluth, MN-WI",20260,13/03/2022,43.0,Good,Ozone,27-137-7550,4
"Des Moines-West Des Moines, IA",19780,15/09/2022,44.0,Good,Ozone,19-153-1579,2
"Williamsport, PA",48700,18/01/2022,24.0,Good,PM2.5,42-081-0419,1
"New Castle, IN",35220,23/04/2022,40.0,Good,PM2.5,18-065-0003,1
"Pocatello, ID",38540,14/04/2022,40.0,Good,Ozone,16-005-0015,2
"Effingham, IL",20820,1/03/2022,44.0,Good,Ozone,17-049-1001,1
"Ellensburg, WA",21260,27/05/2022,10.0,Good,PM2.5,53-037-0002,1
"Jackson, TN",27180,11/05/2022,71.0,Moderate,PM2.5,47-113-0010,1
"Athens, TN",11940,22/06/2022,58.0,Moderate,PM2.5,47-107-1002,1
"Pahrump, NV",37220,14/02/2022,51.0,Moderate,PM10,32-023-0014,4
"Marshall, MN",32140,22/01/2022,16.0,Good,PM2.5,27-083-4210,1
"Sierra Vista-Douglas, AZ",43420,22/01/2022,39.0,Good,Ozone,04-003-8001,3
"Sevierville, TN",42940,14/05/2022,42.0,Good,Ozone,47-155-0102,2
"St. George, UT",41100,20/01/2022,36.0,Good,Ozone,49-053-0130,2
"Riverton, WY",40180,4/01/2022,46.0,Good,Ozone,56-013-0099,4
"Grand Rapids-Wyoming, MI",24340,29/05/2022,49.0,Good,Ozone,26-081-0020,3
"Laredo, TX",29700,3/01/2022,11.0,Good,PM2.5,48-479-0313,1
"Fort Payne, AL",22840,13/03/2022,42.0,Good,Ozone,01-049-9991,1
"Eagle Pass, TX",20580,1/04/2022,38.0,Good,PM2.5,48-323-0004,1
"Medford, OR",32780,26/02/2022,48.0,Good,PM2.5,41-029-2129,4
"Duluth, MN-WI",20260,20/02/2022,37.0,Good,Ozone,27-137-0034,5
"Coeur d'Alene, ID",17660,3/05/2022,10.0,Good,PM2.5,16-055-0015,1
"Cambridge, MD",15700,24/07/2022,45.0,Good,Ozone,24-019-9991,1
"Norwich-New London, CT",35980,16/06/2022,28.0,Good,Ozone,09-011-0124,1
"Moscow, ID",34140,27/01/2022,0.0,Good,PM2.5,16-057-0005,1
"Gettysburg, PA",23900,14/10/2022,3.0,Good,NO2,42-001-0001,1
"Chicago-Naperville-Elgin, IL-IN-WI",16980,31/03/2022,36.0,Good,Ozone,55-059-0025,32
"Sayre, PA",42380,12/10/2022,8.0,Good,NO2,42-015-0011,1
"Hartford-West Hartford-East Hartford, CT",25540,9/03/2022,38.0,Good,NO2,09-003-1003,4
"Gadsden, AL",23460,9/04/2022,41.0,Good,Ozone,01-055-0011,2
"Taos, NM",45340,11/05/2022,22.0,Good,PM2.5,35-055-0005,1
"Canton-Massillon, OH",15940,19/08/2022,55.0,Moderate,PM2.5,39-151-0020,4
"Lewiston, ID-WA",30300,9/09/2022,84.0,Moderate,PM2.5,16-069-0013,1
"Lima, OH",30620,4/05/2022,31.0,Good,Ozone,39-003-0009,1
"Grand Island, NE",24260,26/05/2022,17.0,Good,PM2.5,31-079-0005,1
"Augusta-Richmond County, GA-SC",12260,28/07/2022,34.0,Good,Ozone,45-003-0003,4
"Memphis, TN-MS-AR",32820,20/06/2022,108.0,Unhealthy for Sensitive Groups,Ozone,05-035-0005,7
"Fort Madison-Keokuk, IA-IL-MO",22800,13/01/2022,57.0,Moderate,,19-111-0008,1
"Provo-Orem, UT",39340,5/08/2022,54.0,Moderate,Ozone,49-049-4001,2
"Laredo, TX",29700,23/05/2022,38.0,Good,PM2.5,48-479-0313,1
"Fresno, CA",23420,6/01/2022,72.0,Moderate,PM2.5,06-019-0011,10
"Palm Bay-Melbourne-Titusville, FL",37340,11/06/2022,28.0,Good,,12-009-4001,2
"El Paso, TX",21340,4/02/2022,37.0,Good,NO2,48-141-0044,8
"Cincinnati, OH-KY-IN",17140,23/06/2022,64.0,Moderate,Ozone,39-165-0007,15
"Centralia, WA",16500,27/03/2022,33.0,Good,PM2.5,53-041-0004,1
"Columbia, MO",17860,5/03/2022,49.0,Good,Ozone,29-019-0011,1
"Topeka, KS",45820,17/03/2022,48.0,Good,PM2.5,20-177-0013,1
"Worcester, MA-CT",49340,27/04/2022,31.0,Good,Ozone,25-027-0024,4
"Brunswick, GA",15260,26/06/2022,34.0,Good,Ozone,13-127-0006,1
"Beatrice, NE",13100,4/03/2022,25.0,Good,PM2.5,31-067-0005,1
"Fort Madison-Keokuk, IA-IL-MO",22800,29/06/2022,32.0,Good,PM2.5,19-111-0008,1
"Eureka-Arcata-Fortuna, CA",21700,2/03/2022,31.0,Good,Ozone,06-023-1004,1
"Kansas City, MO-KS",28140,19/03/2022,44.0,Good,Ozone,20-091-0010,11
"Casper, WY",16220,5/02/2022,42.0,Good,Ozone,56-025-0100,2
"Lakeland-Winter Haven, FL",29460,2/02/2022,44.0,Good,Ozone,12-105-6005,2
"Scottsbluff, NE",42420,26/02/2022,11.0,Good,PM2.5,31-157-0004,1
"Aberdeen, WA",10140,17/05/2022,17.0,Good,PM2.5,53-027-2002,1
"Bozeman, MT",14580,28/02/2022,13.0,Good,PM2.5,30-031-0019,2
"El Centro, CA",20940,13/06/2022,110.0,Unhealthy for Sensitive Groups,PM10,06-025-0010,5
"Winchester, VA-WV",49020,23/09/2022,9.0,Good,PM2.5,51-069-0010,1
"Harrisburg-Carlisle, PA",25420,13/01/2022,101.0,Unhealthy for Sensitive Groups,PM2.5,42-043-0401,3
"Scranton--Wilkes-Barre--Hazleton, PA",42540,23/05/2022,32.0,Good,Ozone,42-079-1101,4
"Brunswick, GA",15260,24/09/2022,39.0,Good,Ozone,13-127-0006,1
"Lebanon, PA",30140,25/06/2022,49.0,Good,Ozone,42-075-0101,1
"Spokane-Spokane Valley, WA",44060,22/01/2022,55.0,Moderate,PM2.5,53-063-0017,6
"Bloomington, IL",14010,4/05/2022,34.0,Good,PM2.5,17-113-2003,1
"Tampa-St. Petersburg-Clearwater, FL",45300,13/03/2022,45.0,Good,Ozone,12-057-1065,15
"Wheeling, WV-OH",48540,8/02/2022,63.0,Moderate,PM2.5,54-051-1002,2
"San Francisco-Oakland-Hayward, CA",41860,5/01/2022,29.0,Good,Ozone,06-001-2001,13
"Fayetteville-Springdale-Rogers, AR-MO",22220,29/05/2022,46.0,Good,Ozone,05-143-0006,2
"Columbus, GA-AL",17980,8/06/2022,43.0,Good,PM2.5,01-113-0003,2
"Eagle Pass, TX",20580,31/07/2022,,Good,PM2.5,48-323-0004,1
"New Castle, IN",35220,14/07/2022,23.0,Good,PM2.5,18-065-0003,1
"McAllen-Edinburg-Mission, TX",32580,28/01/2022,,Good,Ozone,48-215-0043,1
"Farmington, NM",22140,21/02/2022,119.0,Unhealthy for Sensitive Groups,PM10,35-045-1005,5
"Marietta, OH",31930,17/05/2022,54.0,Moderate,Ozone,39-167-0004,1
"Jackson, TN",27180,11/06/2022,41.0,Good,PM2.5,47-113-0010,1
"Redding, CA",39820,27/01/2022,49.0,Good,Ozone,06-089-3003,1
"Terre Haute, IN",45460,26/03/2022,31.0,Good,Ozone,18-167-0024,2
"Portland-South Portland, ME",38860,15/01/2022,33.0,Good,Ozone,23-005-2003,2
"Baltimore-Columbia-Towson, MD",12580,21/09/2022,64.0,Moderate,Ozone,24-510-5253,5
"Las Cruces, NM",29740,19/09/2022,41.0,Good,Ozone,35-013-0021,8
"Rockland, ME",40500,24/09/2022,27.0,Good,Ozone,23-013-0004,1
"Watertown-Fort Atkinson, WI",48020,3/08/2022,32.0,Good,Ozone,55-055-0009,1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,28/09/2022,30.0,Good,PM2.5,34-007-0002,4
"Toledo, OH",45780,6/01/2022,31.0,Good,PM2.5,39-095-0024,1
"Tulsa, OK",46140,30/05/2022,48.0,Good,PM2.5,40-143-1127,6
"Bismarck, ND",13900,11/04/2022,41.0,Good,Ozone,38-065-0002,2
"Lake Charles, LA",29340,1/06/2022,27.0,Good,PM2.5,22-019-0008,3
"Victoria, TX",47020,20/06/2022,34.0,Good,Ozone,48-469-0003,1
"Othello, WA",36830,7/01/2022,8.0,Good,PM2.5,53-001-0003,1
"Laramie, WY",29660,28/04/2022,64.0,Moderate,Ozone,56-001-9991,7
"Santa Fe, NM",42140,22/01/2022,37.0,Good,Ozone,35-049-0021,1
"Salt Lake City, UT",41620,29/08/2022,90.0,Moderate,Ozone,49-035-4002,9
"Nogales, AZ",35700,17/04/2022,38.0,Good,PM2.5,04-023-0004,1
"Chico, CA",17020,3/04/2022,50.0,Good,Ozone,06-007-0008,4
"Madera, CA",31460,7/03/2022,37.0,Good,Ozone,06-039-2010,1
"Pierre, SD",38180,10/04/2022,0.0,Good,PM2.5,46-065-0003,1
"Springfield, OH",44220,22/08/2022,,Good,Ozone,39-023-0003,3
"Hagerstown-Martinsburg, MD-WV",25180,15/01/2022,25.0,Good,PM2.5,24-043-0009,1
"Scottsbluff, NE",42420,9/06/2022,11.0,Good,,31-157-0004,1
"Salt Lake City, UT",41620,9/08/2022,143.0,Unhealthy for Sensitive Groups,Ozone,49-035-3013,9
"El Paso, TX",21340,28/05/2022,70.0,Moderate,PM2.5,48-141-0055,6
"Winston-Salem, NC",49180,18/03/2022,48.0,Good,Ozone,37-067-0030,4
"Bloomington, IN",14020,30/03/2022,43.0,Good,Ozone,18-055-0001,2
"Tulsa, OK",46140,18/02/2022,41.0,Good,PM2.5,40-143-9029,5
"Grand Rapids-Wyoming, MI",24340,4/05/2022,34.0,Good,Ozone,26-081-0022,2
"Santa Rosa, CA",42220,23/08/2022,19.0,Good,Ozone,06-097-0004,1
"New Castle, PA",35260,26/04/2022,32.0,Good,Ozone,42-073-0015,1
"Sayre, PA",42380,11/09/2022,2.0,Good,,42-015-0011,1
"Logan, UT-ID",30860,1/01/2022,40.0,Good,PM2.5,49-005-0007,2
"Flagstaff, AZ",22380,1/04/2022,,Good,Ozone,04-005-1008,2
"South Bend-Mishawaka, IN-MI",43780,12/09/2022,22.0,Good,Ozone,18-141-0016,3
"Vallejo-Fairfield, CA",46700,26/04/2022,48.0,Good,,06-095-0004,3
"Santa Rosa, CA",42220,9/05/2022,38.0,Good,Ozone,06-097-0004,4
"Cadillac, MI",15620,22/01/2022,45.0,Good,PM2.5,26-113-0001,2
"Durango, CO",20420,9/09/2022,50.0,Good,Ozone,08-067-7001,2
"Winchester, VA-WV",49020,6/02/2022,56.0,Moderate,PM2.5,51-069-0010,1
"Detroit-Warren-Dearborn, MI",19820,16/02/2022,93.0,Moderate,PM2.5,26-163-0015,14
"Peoria, IL",37900,28/05/2022,44.0,Good,Ozone,17-143-1001,3
"Corpus Christi, TX",18580,5/03/2022,34.0,Good,PM2.5,48-355-0032,4
"Danville, VA",19260,4/03/2022,3.0,Good,NO2,51-143-0005,1
"La Crosse-Onalaska, WI-MN",29100,5/05/2022,44.0,Good,Ozone,55-063-0012,1
"Salt Lake City, UT",41620,15/10/2022,46.0,Good,PM2.5,49-035-4002,5
"St. Marys, PA",41260,16/07/2022,50.0,Good,Ozone,42-047-9991,1
"Dodge City, KS",19980,10/04/2022,44.0,Good,PM10,20-057-0002,1
"Wausau, WI",48140,22/06/2022,37.0,Good,Ozone,55-073-0012,1
"Valdosta, GA",46660,7/07/2022,31.0,Good,PM2.5,13-185-0003,1
"Glenwood Springs, CO",24060,27/06/2022,40.0,Good,Ozone,08-045-0012,1
"Janesville-Beloit, WI",27500,27/09/2022,21.0,Good,Ozone,55-105-0030,1
"Sheridan, WY",43260,20/01/2022,50.0,Good,PM2.5,56-033-0002,2
"El Paso, TX",21340,13/07/2022,80.0,Moderate,Ozone,48-141-1021,6
"Wenatchee, WA",48300,3/02/2022,30.0,Good,PM2.5,53-007-0010,3
"Hilo, HI",25900,2/07/2022,10.0,Good,PM2.5,15-001-0005,1
"Palatka, FL",37260,6/03/2022,17.0,Good,,12-107-1008,1
"Dayton, OH",19380,18/01/2022,51.0,Moderate,PM2.5,39-113-0038,2
"Kinston, NC",28820,4/06/2022,58.0,Moderate,Ozone,37-107-0004,1
"Houma-Thibodaux, LA",26380,24/01/2022,32.0,Good,Ozone,22-057-0004,1
"Clinton, IA",17540,17/06/2022,48.0,Good,Ozone,19-045-0021,2
"Clarksville, TN-KY",17300,25/04/2022,30.0,Good,Ozone,21-221-9991,3
"Moses Lake, WA",34180,27/04/2022,13.0,Good,PM2.5,53-025-1002,2
"Missoula, MT",33540,9/03/2022,48.0,Good,PM2.5,30-063-0038,2
"Nogales, AZ",35700,1/04/2022,39.0,Good,PM2.5,04-023-0004,1
"Red Bluff, CA",39780,2/05/2022,45.0,Good,Ozone,06-103-0007,1
"Harrison, AR",25460,22/05/2022,23.0,Good,Ozone,05-101-0002,1
"Huntington-Ashland, WV-KY-OH",26580,4/02/2022,23.0,Good,PM2.5,21-019-0017,4
"Salisbury, MD-DE",41540,12/02/2022,51.0,Moderate,PM2.5,10-005-1002,2
"Clinton, IA",17540,28/10/2022,59.0,Moderate,PM2.5,19-045-0019,2
"Lewiston-Auburn, ME",30340,27/08/2022,20.0,Good,PM2.5,23-001-0011,2
"Trenton, NJ",45940,17/03/2022,58.0,Moderate,,34-021-0005,3
"Taos, NM",45340,11/06/2022,63.0,Moderate,PM2.5,35-055-0005,1
"Sierra Vista-Douglas, AZ",43420,30/07/2022,44.0,Good,Ozone,04-003-8001,3
"Dodge City, KS",19980,17/03/2022,40.0,Good,PM10,20-057-0002,1
"Billings, MT",13740,30/05/2022,15.0,Good,PM2.5,30-111-0087,1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,17/02/2022,42.0,Good,NO2,42-101-0076,16
"Lewiston-Auburn, ME",30340,7/03/2022,31.0,Good,Ozone,23-001-0014,2
"Harrisburg-Carlisle, PA",25420,13/10/2022,7.0,Good,PM10,42-043-1100,1
"San Francisco-Oakland-Hayward, CA",41860,14/03/2022,44.0,Good,Ozone,06-013-1004,13
"Sayre, PA",42380,12/05/2022,41.0,Good,Ozone,42-015-0011,1
"Shelton, WA",43220,17/04/2022,14.0,Good,PM2.5,53-045-0007,1
"Vernal, UT",46860,16/08/2022,46.0,Good,Ozone,49-047-1004,1
"Waterloo-Cedar Falls, IA",47940,15/04/2022,33.0,Good,Ozone,19-017-0011,2
"Lake City, FL",29380,22/04/2022,47.0,Good,Ozone,12-023-0002,1
"Eau Claire, WI",20740,29/05/2022,40.0,Good,Ozone,55-035-0014,1
"Bellingham, WA",13380,7/06/2022,25.0,Good,Ozone,53-073-0005,2
"Victoria, TX",47020,23/04/2022,31.0,Good,Ozone,48-469-0003,1
"Lexington-Fayette, KY",30460,22/06/2022,80.0,Moderate,Ozone,21-067-0012,2
"Warner Robins, GA",47580,2/03/2022,75.0,Moderate,PM2.5,13-153-0001,1
"Moses Lake, WA",34180,20/01/2022,43.0,Good,PM2.5,53-025-1002,2
"Las Cruces, NM",29740,7/01/2022,42.0,Good,NO2,35-013-0022,9
"Salt Lake City, UT",41620,24/06/2022,77.0,Moderate,PM2.5,49-045-0004,9
"Santa Rosa, CA",42220,10/04/2022,40.0,Good,Ozone,06-097-0004,4
"North Port-Sarasota-Bradenton, FL",35840,6/01/2022,42.0,Good,Ozone,12-115-2002,7
"Barnstable Town, MA",12700,25/01/2022,34.0,Good,Ozone,25-001-0002,1
"Houma-Thibodaux, LA",26380,11/05/2022,67.0,Moderate,Ozone,22-057-0004,2
"Prescott, AZ",39140,22/06/2022,43.0,Good,Ozone,04-025-8034,1
"Yakima, WA",49420,28/05/2022,13.0,Good,PM2.5,53-077-0005,3
"Corvallis, OR",18700,16/06/2022,11.0,Good,PM2.5,41-003-0013,1
"Baraboo, WI",12660,6/04/2022,31.0,Good,Ozone,55-111-0007,1
"Naples-Immokalee-Marco Island, FL",34940,20/04/2022,47.0,Good,Ozone,12-021-0004,1
"Bemidji, MN",13420,23/03/2022,12.0,Good,PM2.5,27-007-2304,1
"Providence-Warwick, RI-MA",39300,27/02/2022,44.0,Good,Ozone,44-007-1010,6
"Muncie, IN",34620,23/08/2022,33.0,Good,,18-035-0010,1
"Adrian, MI",10300,18/06/2022,37.0,Good,Ozone,26-091-0007,1
"Tyler, TX",46340,26/02/2022,,Good,NO2,48-423-0007,1
"Harrisburg-Carlisle, PA",25420,5/04/2022,59.0,Moderate,PM2.5,42-043-0401,3
"Appleton, WI",11540,18/02/2022,23.0,Good,PM2.5,55-087-0009,1
"Norwich-New London, CT",35980,9/03/2022,33.0,Good,Ozone,09-011-0124,1
"Santa Rosa, CA",42220,19/06/2022,31.0,Good,Ozone,06-097-0004,4
"Grand Rapids-Wyoming, MI",24340,17/04/2022,32.0,Good,Ozone,26-139-0005,3
"Monroe, LA",33740,10/08/2022,26.0,Good,Ozone,22-073-0004,1
"Beatrice, NE",13100,1/04/2022,20.0,Good,PM2.5,31-067-0005,1
"Fort Wayne, IN",23060,5/08/2022,43.0,Good,Ozone,18-003-0002,2
"Sandpoint, ID",41760,5/04/2022,15.0,Good,,16-017-0003,1
"Hermiston-Pendleton, OR",25840,31/05/2022,33.0,Good,Ozone,41-059-1003,2
"Cadillac, MI",15620,14/07/2022,31.0,Good,Ozone,26-165-9991,1
"Cedar City, UT",16260,29/04/2022,58.0,Moderate,Ozone,49-021-0005,1
"Salem, OR",41420,23/05/2022,35.0,Good,Ozone,41-047-0004,4
"Casper, WY",16220,4/06/2022,44.0,Good,Ozone,56-025-2601,2
"Fairmont, WV",21900,18/03/2022,37.0,Good,PM2.5,54-049-0006,1
"El Paso, TX",21340,28/01/2022,38.0,Good,Ozone,48-141-0057,6
"Raleigh, NC",39580,7/02/2022,32.0,Good,Ozone,37-183-0014,3
"Corning, NY",18500,28/03/2022,35.0,Good,Ozone,36-101-0003,1
"Anchorage, AK",11260,2/03/2022,29.0,Good,PM2.5,02-020-0018,4
"Corning, NY",18500,24/05/2022,33.0,Good,Ozone,36-101-0003,1
"Detroit-Warren-Dearborn, MI",19820,13/02/2022,39.0,Good,NO2,26-163-1013,13
"Trenton, NJ",45940,2/09/2022,44.0,Good,Ozone,34-021-0005,2
"Wichita, KS",48620,27/02/2022,60.0,Moderate,PM2.5,20-173-0010,3
"El Centro, CA",20940,4/08/2022,57.0,Moderate,PM10,06-025-0010,1
"Charleston, WV",16620,5/06/2022,64.0,Moderate,Ozone,54-039-0020,1
"Muscatine, IA",34700,29/01/2022,36.0,Good,PM2.5,19-139-0016,4
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,15/07/2022,74.0,Moderate,Ozone,47-037-0026,4
"Macon, GA",31420,12/05/2022,,Good,Ozone,13-021-0012,1
"Lancaster, PA",29540,23/02/2022,40.0,Good,PM2.5,42-071-0012,2
"Huntington-Ashland, WV-KY-OH",26580,28/05/2022,33.0,Good,Ozone,54-011-0007,5
"Richmond, VA",40060,20/09/2022,43.0,Good,PM2.5,51-760-0025,6
"Bloomington, IN",14020,3/04/2022,41.0,Good,,18-055-0001,2
"Mason City, IA",32380,16/07/2022,9.0,Good,PM10,19-033-0018,1
"Dyersburg, TN",20540,15/05/2022,40.0,Good,PM2.5,47-045-0004,1
"Blacksburg-Christiansburg-Radford, VA",13980,26/03/2022,38.0,Good,,51-071-9992,1
"Florence, SC",22500,3/05/2022,41.0,Good,Ozone,45-031-0003,1
"Quincy, IL-MO",39500,17/03/2022,44.0,Good,Ozone,17-001-0007,1
"Ardmore, OK",11620,2/03/2022,87.0,Moderate,,40-085-0300,2
"Ithaca, NY",27060,21/06/2022,64.0,Moderate,Ozone,36-109-9991,1
"Athens, TN",11940,6/01/2022,24.0,Good,PM2.5,47-107-1002,1
"Baton Rouge, LA",12940,24/06/2022,90.0,Moderate,Ozone,22-005-0004,9
"Madera, CA",31460,8/03/2022,45.0,Good,Ozone,06-039-2010,1
"Cedar City, UT",16260,18/05/2022,44.0,Good,,49-021-0005,1
"Claremont-Lebanon, NH-VT",17200,26/06/2022,80.0,Moderate,Ozone,33-009-0010,1
"Urban Honolulu, HI",46520,15/02/2022,29.0,Good,Ozone,15-003-0010,4
"Asheville, NC",11700,4/09/2022,31.0,Good,Ozone,37-087-0035,4
"Duluth, MN-WI",20260,21/07/2022,23.0,Good,Ozone,27-137-0034,1
"Flagstaff, AZ",22380,24/05/2022,58.0,Moderate,Ozone,04-005-1008,2
"Weirton-Steubenville, WV-OH",48260,10/01/2022,28.0,Good,PM2.5,39-081-0017,3
"Decatur, AL",19460,17/01/2022,36.0,Good,PM2.5,01-103-0011,1
"Lake Havasu City-Kingman, AZ",29420,13/02/2022,16.0,Good,PM10,04-015-1003,1
"Boulder, CO",14500,8/01/2022,37.0,Good,Ozone,08-013-0014,3
"Port St. Lucie, FL",38940,24/03/2022,36.0,Good,PM2.5,12-085-0007,2
"Athens, TN",11940,23/05/2022,29.0,Good,PM2.5,47-107-1002,1
"Gulfport-Biloxi-Pascagoula, MS",25060,8/02/2022,41.0,Good,PM2.5,28-059-0006,3
"Charlottesville, VA",16820,29/05/2022,37.0,Good,Ozone,51-003-0001,1
"Carson City, NV",16180,5/01/2022,39.0,Good,Ozone,32-510-0020,1
"Elkhart-Goshen, IN",21140,23/02/2022,34.0,Good,Ozone,18-039-0007,2
"Athens, TN",11940,12/04/2022,55.0,Moderate,PM2.5,47-107-1002,1
"Fond du Lac, WI",22540,10/04/2022,46.0,Good,Ozone,55-039-0006,1
"Flint, MI",22420,1/02/2022,71.0,Moderate,PM2.5,26-049-0021,1
"Springfield, IL",44100,5/02/2022,42.0,Good,PM2.5,17-167-0012,1
"Aberdeen, WA",10140,30/03/2022,10.0,Good,PM2.5,53-027-2002,1
"Atlanta-Sandy Springs-Roswell, GA",12060,28/02/2022,41.0,Good,NO2,13-231-9991,9
"Wilmington, NC",48900,26/03/2022,42.0,Good,Ozone,37-129-0002,1
"Ardmore, OK",11620,15/09/2022,97.0,Moderate,Ozone,40-085-0300,1
"El Centro, CA",20940,16/08/2022,45.0,Good,PM10,06-025-0010,1
"Corsicana, TX",18620,21/06/2022,71.0,Moderate,Ozone,48-349-1051,1
"Hanford-Corcoran, CA",25260,10/03/2022,74.0,Moderate,PM10,06-031-0500,3
"Durham-Chapel Hill, NC",20500,9/02/2022,35.0,Good,,37-063-0015,1
"Vineyard Haven, MA",47240,22/06/2022,33.0,Good,Ozone,25-007-0001,1
"Pittsburgh, PA",38300,24/08/2022,54.0,Moderate,PM2.5,42-125-5200,8
"Provo-Orem, UT",39340,1/11/2022,3.0,Good,,49-049-4001,1
"San Juan-Carolina-Caguas, PR",41980,7/01/2022,15.0,Good,PM10,72-033-0004,3
"Lancaster, PA",29540,30/05/2022,58.0,Moderate,PM2.5,42-071-0012,2
"Baraboo, WI",12660,13/07/2022,31.0,Good,Ozone,55-111-0007,1
"Clarksville, TN-KY",17300,26/01/2022,32.0,Good,Ozone,21-221-9991,3
"Adrian, MI",10300,25/01/2022,26.0,Good,PM2.5,26-091-0007,1
"Lancaster, PA",29540,12/04/2022,56.0,Moderate,PM2.5,42-071-0012,2
"Oklahoma City, OK",36420,15/02/2022,47.0,Good,Ozone,40-017-0101,4
"Pittsfield, MA",38340,9/03/2022,32.0,Good,Ozone,25-003-0008,2
"Rockford, IL",40420,18/02/2022,23.0,Good,PM2.5,17-201-0118,1
"Oklahoma City, OK",36420,2/04/2022,50.0,Good,Ozone,40-087-1074,6
"Bangor, ME",12620,8/01/2022,29.0,Good,PM2.5,23-019-0017,1
"Fond du Lac, WI",22540,6/05/2022,44.0,Good,Ozone,55-039-0006,1
"Las Vegas-Henderson-Paradise, NV",29820,18/01/2022,,Moderate,PM2.5,32-003-0561,15
"Bakersfield, CA",12540,15/03/2022,58.0,Moderate,Ozone,06-029-5002,12
"Paducah, KY-IL",37140,28/03/2022,39.0,Good,Ozone,21-145-1024,2
"Grand Island, NE",24260,16/07/2022,41.0,Good,PM2.5,31-079-0005,1
"Vernal, UT",46860,21/04/2022,61.0,Moderate,Ozone,49-047-1002,5
"Greenville, NC",24780,8/08/2022,29.0,Good,Ozone,37-147-0006,1
"Port St. Lucie, FL",38940,10/02/2022,45.0,Good,,12-111-0013,2
"Somerset, PA",43740,22/03/2022,40.0,Good,Ozone,42-111-9991,1
"Tulsa, OK",46140,26/06/2022,46.0,Good,Ozone,40-143-0174,5
"Kansas City, MO-KS",28140,30/04/2022,44.0,Good,Ozone,29-047-0006,11
"Augusta-Waterville, ME",12300,4/06/2022,25.0,Good,,23-011-2001,2
"Lancaster, PA",29540,9/01/2022,71.0,Moderate,PM2.5,42-071-0012,2
"Rutland, VT",40860,21/03/2022,43.0,Good,,50-021-0002,1
"Jackson, WY-ID",27220,8/06/2022,54.0,Moderate,Ozone,56-039-0008,4
"Farmington, NM",22140,20/07/2022,90.0,Moderate,Ozone,35-045-0018,5
"Olympia-Tumwater, WA",36500,31/01/2022,8.0,Good,PM2.5,53-067-0013,1
"Mount Vernon, IL",34500,10/03/2022,40.0,Good,PM2.5,17-065-0002,1
"Helena, MT",25740,14/01/2022,34.0,Good,PM2.5,30-049-0026,2
"Eugene, OR",21660,10/05/2022,107.0,Unhealthy for Sensitive Groups,PM2.5,41-039-0060,8
"Americus, GA",11140,10/03/2022,24.0,Good,Ozone,13-261-1001,1
"College Station-Bryan, TX",17780,30/05/2022,33.0,Good,PM2.5,48-041-1086,1
"Canton-Massillon, OH",15940,15/08/2022,46.0,Good,Ozone,39-151-0016,5
"Ogden-Clearfield, UT",36260,5/10/2022,46.0,Good,Ozone,49-057-1003,2
"Show Low, AZ",43320,13/09/2022,5.0,Good,PM10,04-017-1002,1
"Mayaguez, PR",32420,7/02/2022,30.0,Good,PM2.5,72-097-0007,1
"Springfield, MO",44180,31/05/2022,37.0,Good,PM2.5,29-077-0036,2
"Arkadelphia, AR",11660,28/07/2022,38.0,Good,Ozone,05-019-9991,1
"Stockton-Lodi, CA",44700,1/07/2022,1.0,Good,CO,06-077-1003,1
"Rutland, VT",40860,28/06/2022,26.0,Good,Ozone,50-021-0002,1
"Lubbock, TX",31180,4/03/2022,43.0,Good,PM2.5,48-303-1028,1
"Phoenix-Mesa-Scottsdale, AZ",38060,22/02/2022,52.0,Moderate,PM10,04-013-4009,44
"Greenville, NC",24780,23/04/2022,45.0,Good,Ozone,37-147-0006,1
"Brownsville-Harlingen, TX",15180,14/06/2022,79.0,Moderate,PM2.5,48-061-2004,3
"Oxnard-Thousand Oaks-Ventura, CA",37100,10/08/2022,64.0,Moderate,Ozone,06-111-2002,5
"Lynchburg, VA",31340,20/05/2022,48.0,Good,PM2.5,51-680-0015,1
"Carson City, NV",16180,1/02/2022,38.0,Good,Ozone,32-510-0020,1
